###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4 m5
SW620_24h_12Glc_R1_PIM_SCAN_01 14005 0.8815 0.0591 0.0665 -0.0033 -2e-04 -0.0034
SW620_24h_12Glc_R2_PIM_SCAN_01 17984 0.949 0.0059 0.0471 -2e-04 0.0019 -0.0035
SW620_24h_12Glc_R3_PIM_SCAN_01 28664 0.8803 0.0301 0.0885 -0.0012 -0.0014 9e-04
SW620_24h_cold_R2_PIM_SCAN_01 21368 0.9523 0.0393 0.0036 0.0054 1e-04 0.0021
SW620_24h_UGln_R1_PIM_SCAN_01 11898 0.4435 0.0271 0.0421 0.1111 0.0297 0.3269
SW620_24h_UGln_R2_PIM_SCAN_01 7106 0.5512 -0.0344 0.0317 0.1268 0.0229 0.2916
SW620_24h_UGln_R3_PIM_SCAN_01 19488 0.5253 0.0028 0.0192 0.1197 0.0294 0.3073
SW620_6h_12Glc_R1_PIM_SCAN_01 8267 0.9924 -0.0401 0.0358 0.0185 -0.0046 -0.0036
SW620_6h_12Glc_R2_PIM_SCAN_01 7050 0.9462 0.0132 0.0429 -0.0097 -0.0076 0.0012
SW620_6h_12Glc_R3_PIM_SCAN_01 8476 0.9746 -0.023 0.0539 0.0013 -0.0021 -0.0025
SW620_6h_UGln_R1_PIM_SCAN_01 4326 0.5174 0.0237 0.0066 0.0261 0.015 0.3886
SW620_6h_UGln_R2_PIM_SCAN_01 2998 0.4996 0.0295 -0.023 0.1004 0.0429 0.3574
SW620_6h_UGln_R3_PIM_SCAN_01 3676 0.4182 0.0712 0.0239 0.089 0.0256 0.325

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4 CF_m5
 0.030330 -0.014274 -0.006330 -0.007193 -0.002223 -0.002221
Sample_file Max_intensity m0 m1 m2 m3 m4 m5
SW620_24h_cold_R2_PIM_SCAN_01 21368 0.9523 0.0393 0.0036 0.0054 1e-04 0.0021
SW620_24h_12Glc_R1_PIM_SCAN_01 14005 0.9292 0.0198 0.063 -0.0087 -2e-04 -0.0055
SW620_24h_12Glc_R2_PIM_SCAN_01 17984 0.9967 -0.0335 0.0435 -0.0056 0.0019 -0.0056
SW620_24h_12Glc_R3_PIM_SCAN_01 28664 0.928 -0.0092 0.085 -0.0066 -0.0014 -0.0012
SW620_24h_UGln_R1_PIM_SCAN_01 11898 0.4912 -0.0122 0.0386 0.1057 0.0297 0.3249
SW620_24h_UGln_R2_PIM_SCAN_01 7106 0.5989 -0.0737 0.0281 0.1214 0.0228 0.2895
SW620_24h_UGln_R3_PIM_SCAN_01 19488 0.573 -0.0366 0.0156 0.1143 0.0293 0.3052
SW620_6h_12Glc_R1_PIM_SCAN_01 8267 1.0401 -0.0794 0.0322 0.0131 -0.0047 -0.0056
SW620_6h_12Glc_R2_PIM_SCAN_01 7050 0.9939 -0.0261 0.0393 -0.0151 -0.0076 -9e-04
SW620_6h_12Glc_R3_PIM_SCAN_01 8476 1.0223 -0.0624 0.0503 -0.0041 -0.0021 -0.0046
SW620_6h_UGln_R1_PIM_SCAN_01 4326 0.5651 -0.0157 0.003 0.0207 0.015 0.3865
SW620_6h_UGln_R2_PIM_SCAN_01 2998 0.5473 -0.0099 -0.0265 0.095 0.0428 0.3553
SW620_6h_UGln_R3_PIM_SCAN_01 3676 0.4659 0.0318 0.0203 0.0836 0.0256 0.3229
