###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3
SW620_24h_12Glc_R1_PIM_SCAN_01 3630592 0.793 0.0169 0.1888 8e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 5206016 0.9961 0.0011 0.0021 7e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 6473216 0.7882 0.0196 0.1885 0.0028
SW620_24h_cold_R2_PIM_SCAN_01 5635072 0.9936 0.0032 0.0033 -1e-04
SW620_24h_UGln_R1_PIM_SCAN_01 5575680 0.9613 0.0055 0.009 0.0241
SW620_24h_UGln_R2_PIM_SCAN_01 4241920 0.959 0.0074 0.0088 0.0244
SW620_24h_UGln_R3_PIM_SCAN_01 7232512 0.9631 0.006 0.0082 0.0225
SW620_6h_12Glc_R1_PIM_SCAN_01 381440 0.8555 0.0091 0.1337 0.001
SW620_6h_12Glc_R2_PIM_SCAN_01 366016 0.8488 0.0136 0.138 -7e-04
SW620_6h_12Glc_R3_PIM_SCAN_01 447680 0.8433 0.0184 0.1355 0.0018
SW620_6h_UGln_R1_PIM_SCAN_01 438912 0.9424 0.0074 0.0111 0.0369
SW620_6h_UGln_R2_PIM_SCAN_01 276736 0.9481 0.0013 0.0141 0.0331
SW620_6h_UGln_R3_PIM_SCAN_01 340992 0.9364 0.013 0.0162 0.0333

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3
 0.0048298 -0.0013288 -0.0026192 -0.0005429
Sample_file Max_intensity m0 m1 m2 m3
SW620_24h_cold_R2_PIM_SCAN_01 5635072 0.9936 0.0032 0.0033 -1e-04
SW620_24h_12Glc_R1_PIM_SCAN_01 3630592 0.7994 0.0138 0.1855 0.001
SW620_24h_12Glc_R2_PIM_SCAN_01 5206016 1.0025 -0.0021 -0.0012 8e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 6473216 0.7946 0.0165 0.1852 0.003
SW620_24h_UGln_R1_PIM_SCAN_01 5575680 0.9677 0.0023 0.0057 0.0242
SW620_24h_UGln_R2_PIM_SCAN_01 4241920 0.9654 0.0043 0.0055 0.0245
SW620_24h_UGln_R3_PIM_SCAN_01 7232512 0.9695 0.0029 0.0049 0.0226
SW620_6h_12Glc_R1_PIM_SCAN_01 381440 0.8619 0.0059 0.1304 0.0012
SW620_6h_12Glc_R2_PIM_SCAN_01 366016 0.8553 0.0104 0.1347 -5e-04
SW620_6h_12Glc_R3_PIM_SCAN_01 447680 0.8497 0.0152 0.1322 0.002
SW620_6h_UGln_R1_PIM_SCAN_01 438912 0.9488 0.0043 0.0079 0.037
SW620_6h_UGln_R2_PIM_SCAN_01 276736 0.9545 -0.0018 0.0108 0.0332
SW620_6h_UGln_R3_PIM_SCAN_01 340992 0.9429 0.0098 0.0129 0.0335
