###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_12Glc_R1_PIM_SCAN_01 1323008 0.9211 0.0213 0.0516 0.0055 3e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 1941504 0.9943 0.0019 0.0017 0.002 2e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 2163712 0.9227 0.018 0.0532 0.0057 5e-04
SW620_24h_cold_R2_PIM_SCAN_01 2127360 0.991 0.0012 0.0069 5e-04 4e-04
SW620_24h_UGln_R1_PIM_SCAN_01 1083904 0.4808 0.0416 0.1052 0.0466 0.3255
SW620_24h_UGln_R2_PIM_SCAN_01 749312 0.4814 0.0366 0.1019 0.0502 0.3276
SW620_24h_UGln_R3_PIM_SCAN_01 1591296 0.4823 0.0442 0.1054 0.0467 0.3197
SW620_6h_12Glc_R1_PIM_SCAN_01 642304 0.9631 0.0111 0.023 0.0026 1e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 650816 0.9645 0.0114 0.0223 0.0011 0
SW620_6h_12Glc_R3_PIM_SCAN_01 817344 0.9645 0.0042 0.0311 -4e-04 4e-04
SW620_6h_UGln_R1_PIM_SCAN_01 377664 0.4692 0.0159 0.068 0.0714 0.3747
SW620_6h_UGln_R2_PIM_SCAN_01 209216 0.4852 0.0174 0.0652 0.0674 0.361
SW620_6h_UGln_R3_PIM_SCAN_01 299328 0.4952 0.0161 0.0649 0.0651 0.3547

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4
 0.005786  0.001266 -0.003865 -0.001752 -0.001013
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_cold_R2_PIM_SCAN_01 2127360 0.991 0.0012 0.0069 5e-04 4e-04
SW620_24h_12Glc_R1_PIM_SCAN_01 1323008 0.9301 0.0201 0.0447 0.0049 0
SW620_24h_12Glc_R2_PIM_SCAN_01 1941504 1.0033 7e-04 -0.0051 0.0014 -2e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 2163712 0.9317 0.0168 0.0464 0.0051 1e-04
SW620_24h_UGln_R1_PIM_SCAN_01 1083904 0.4898 0.0405 0.0983 0.0461 0.3252
SW620_24h_UGln_R2_PIM_SCAN_01 749312 0.4904 0.0354 0.0951 0.0496 0.3273
SW620_24h_UGln_R3_PIM_SCAN_01 1591296 0.4913 0.043 0.0986 0.0461 0.3193
SW620_6h_12Glc_R1_PIM_SCAN_01 642304 0.9721 0.0099 0.0161 0.0021 -3e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 650816 0.9735 0.0102 0.0154 6e-04 -4e-04
SW620_6h_12Glc_R3_PIM_SCAN_01 817344 0.9735 0.003 0.0242 -9e-04 1e-04
SW620_6h_UGln_R1_PIM_SCAN_01 377664 0.4782 0.0147 0.0611 0.0709 0.3744
SW620_6h_UGln_R2_PIM_SCAN_01 209216 0.4942 0.0162 0.0583 0.0669 0.3606
SW620_6h_UGln_R3_PIM_SCAN_01 299328 0.5042 0.0149 0.058 0.0646 0.3543
