###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3
SW620_24h_12Glc_R1_PIM_SCAN_01 557312 0.9291 0.0388 0.0292 0.0025
SW620_24h_12Glc_R2_PIM_SCAN_01 796224 0.9896 9e-04 0.0099 5e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 886720 0.9239 0.044 0.026 0.0045
SW620_24h_cold_R2_PIM_SCAN_01 911296 0.9997 -0.0079 0.0054 0.0036
SW620_24h_UGln_R1_PIM_SCAN_01 438336 0.4821 0.0828 0.0852 0.3459
SW620_24h_UGln_R2_PIM_SCAN_01 323136 0.4787 0.0811 0.0812 0.3563
SW620_24h_UGln_R3_PIM_SCAN_01 682880 0.4899 0.0851 0.0854 0.338
SW620_6h_12Glc_R1_PIM_SCAN_01 276608 0.9718 0.0105 0.0161 3e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 280960 0.9708 0.0112 0.0199 -0.0025
SW620_6h_12Glc_R3_PIM_SCAN_01 346176 0.9774 0.009 0.0108 4e-04
SW620_6h_UGln_R1_PIM_SCAN_01 168256 0.4924 0.0455 0.0688 0.3924
SW620_6h_UGln_R2_PIM_SCAN_01 84712 0.4762 0.0407 0.0767 0.4087
SW620_6h_UGln_R3_PIM_SCAN_01 120616 0.4937 0.0495 0.0646 0.3872

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3
 0.0002007  0.0052555 -0.0018616 -0.0028641
Sample_file Max_intensity m0 m1 m2 m3
SW620_24h_cold_R2_PIM_SCAN_01 911296 0.9997 -0.0079 0.0054 0.0036
SW620_24h_12Glc_R1_PIM_SCAN_01 557312 0.9294 0.0467 0.0238 -0.0011
SW620_24h_12Glc_R2_PIM_SCAN_01 796224 0.9899 0.0087 0.0045 -0.0031
SW620_24h_12Glc_R3_PIM_SCAN_01 886720 0.9242 0.0519 0.0206 9e-04
SW620_24h_UGln_R1_PIM_SCAN_01 438336 0.4824 0.0907 0.0798 0.3423
SW620_24h_UGln_R2_PIM_SCAN_01 323136 0.479 0.0889 0.0758 0.3527
SW620_24h_UGln_R3_PIM_SCAN_01 682880 0.4902 0.093 0.08 0.3344
SW620_6h_12Glc_R1_PIM_SCAN_01 276608 0.9721 0.0184 0.0108 -0.0034
SW620_6h_12Glc_R2_PIM_SCAN_01 280960 0.9711 0.0191 0.0145 -0.0061
SW620_6h_12Glc_R3_PIM_SCAN_01 346176 0.9777 0.0168 0.0054 -0.0032
SW620_6h_UGln_R1_PIM_SCAN_01 168256 0.4927 0.0534 0.0634 0.3887
SW620_6h_UGln_R2_PIM_SCAN_01 84712 0.4765 0.0486 0.0714 0.405
SW620_6h_UGln_R3_PIM_SCAN_01 120616 0.494 0.0574 0.0592 0.3835
