###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4 m5
SW620_24h_12Glc_R1_PIM_SCAN_01 1916 -0.265 -0.018 -1.7198 3.1806 -0.3691 0.11
SW620_24h_12Glc_R3_PIM_SCAN_01 3411 -0.1499 -0.0437 -1.3382 2.4455 -0.0198 0.1664
SW620_24h_cold_R2_PIM_SCAN_01 2509 -0.4227 -0.0137 -1.8567 3.2958 -0.0844 0.0427
SW620_24h_UGln_R1_PIM_SCAN_01 4507 -1.1582 3.2445 1.2082 -2.1813 0.3975 -0.403
SW620_24h_UGln_R2_PIM_SCAN_01 7615 -1.455 3.2027 0.5979 -1.4785 0.4806 -0.3537
SW620_24h_UGln_R3_PIM_SCAN_01 16968 -1.2333 2.701 0.4193 -0.6994 -0.0395 -0.1514
SW620_6h_12Glc_R1_PIM_SCAN_01 1087 1.7167 0.5305 0.6616 -2.2997 0.032 0.5456
SW620_6h_12Glc_R2_PIM_SCAN_01 16520 -1.1411 2.1369 -0.0818 0.103 -0.0134 -0.008
SW620_6h_12Glc_R3_PIM_SCAN_01 1188 -1.0936 -1.097 -4.3307 7.8221 -0.6849 0.6861
SW620_6h_UGln_R1_PIM_SCAN_01 4266 -0.6563 1.5191 -0.0965 0.1581 0.0551 0.0145
SW620_6h_UGln_R2_PIM_SCAN_01 4462 -0.9637 1.7077 0.2653 -0.005 -0.0315 0.0075
SW620_6h_UGln_R3_PIM_SCAN_01 2895 -0.6708 1.4775 0.0128 0.0941 0.0642 -0.0143

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4 CF_m5
 0.8947  0.3436  1.3454 -1.6871 -0.4787 -0.2967
Sample_file Max_intensity m0 m1 m2 m3 m4 m5
SW620_24h_cold_R2_PIM_SCAN_01 2509 -0.4227 -0.0137 -1.8567 3.2958 -0.0844 0.0427
SW620_24h_12Glc_R1_PIM_SCAN_01 1916 1.1577 -0.0042 0.137 -0.1152 -0.2847 0.0673
SW620_24h_12Glc_R3_PIM_SCAN_01 3411 1.2728 -0.03 0.5185 -0.8503 0.0646 0.1237
SW620_24h_UGln_R1_PIM_SCAN_01 4507 0.2645 3.2582 3.065 -5.4771 0.4819 -0.4457
SW620_24h_UGln_R2_PIM_SCAN_01 7615 -0.0323 3.2164 2.4546 -4.7744 0.565 -0.3964
SW620_24h_UGln_R3_PIM_SCAN_01 16968 0.1894 2.7147 2.276 -3.9952 0.0449 -0.1941
SW620_6h_12Glc_R1_PIM_SCAN_01 1087 3.1394 0.5442 2.5183 -5.5955 0.1164 0.5029
SW620_6h_12Glc_R2_PIM_SCAN_01 16520 0.2816 2.1506 1.775 -3.1928 0.0711 -0.0507
SW620_6h_12Glc_R3_PIM_SCAN_01 1188 0.3291 -1.0833 -2.4739 4.5263 -0.6005 0.6434
SW620_6h_UGln_R1_PIM_SCAN_01 4266 0.7664 1.5328 1.7602 -3.1377 0.1396 -0.0282
SW620_6h_UGln_R2_PIM_SCAN_01 4462 0.459 1.7214 2.1221 -3.3008 0.0529 -0.0352
SW620_6h_UGln_R3_PIM_SCAN_01 2895 0.7519 1.4912 1.8696 -3.2017 0.1486 -0.057
