###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4 m5 m6
SW620_24h_12Glc_R1_PIM_SCAN_01 555072 0.7636 0.0175 0.1999 0.0081 0.0099 5e-04 0.0012
SW620_24h_12Glc_R2_PIM_SCAN_01 951424 0.9983 -0.0121 0.0109 0.0034 -7e-04 -1e-04 5e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 922880 0.7368 0.0308 0.2153 0.0034 0.0113 0.0024 -1e-04
SW620_24h_cold_R2_PIM_SCAN_01 1065472 0.993 -0.0063 0.0161 -0.0023 -0.0012 0.0011 -3e-04
SW620_24h_UGln_R1_PIM_SCAN_01 491712 0.466 0.0338 0.1178 0.0471 0.3034 0.022 0.0103
SW620_24h_UGln_R2_PIM_SCAN_01 371392 0.4614 0.0441 0.118 0.0467 0.2995 0.0238 0.0038
SW620_24h_UGln_R3_PIM_SCAN_01 647424 0.4777 0.0408 0.112 0.0514 0.2879 0.0227 0.0064
SW620_6h_12Glc_R1_PIM_SCAN_01 208000 0.8211 0.0198 0.1533 1e-04 0.0041 0.0023 -5e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 236224 0.8272 0.0129 0.1509 0.0033 0.003 0.0019 0.0012
SW620_6h_12Glc_R3_PIM_SCAN_01 227456 0.8303 0.0197 0.1452 -0.0012 0.0047 9e-04 0.0011
SW620_6h_UGln_R1_PIM_SCAN_01 123496 0.4587 0.0182 0.0788 0.0614 0.3199 0.0462 0.0164
SW620_6h_UGln_R2_PIM_SCAN_01 77744 0.455 0.0269 0.0718 0.0729 0.3037 0.0482 0.0257
SW620_6h_UGln_R3_PIM_SCAN_01 100288 0.4995 0.0112 0.0919 0.0543 0.2712 0.0564 0.0151

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4 CF_m5 CF_m6
 3.814e-03  5.356e-03 -6.300e-03 -1.776e-03 -4.958e-04 -5.855e-04 -9.135e-06
Sample_file Max_intensity m0 m1 m2 m3 m4 m5 m6
SW620_24h_cold_R2_PIM_SCAN_01 1065472 0.993 -0.0063 0.0161 -0.0023 -0.0012 0.0011 -3e-04
SW620_24h_12Glc_R1_PIM_SCAN_01 555072 0.7706 0.0238 0.1838 0.0104 0.0112 -7e-04 0.0015
SW620_24h_12Glc_R2_PIM_SCAN_01 951424 1.0054 -0.0058 -0.0052 0.0057 5e-04 -0.0012 8e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 922880 0.7438 0.0371 0.1992 0.0056 0.0125 0.0013 2e-04
SW620_24h_UGln_R1_PIM_SCAN_01 491712 0.473 0.0401 0.1018 0.0494 0.3047 0.0209 0.0106
SW620_24h_UGln_R2_PIM_SCAN_01 371392 0.4685 0.0505 0.1019 0.049 0.3008 0.0227 0.0041
SW620_24h_UGln_R3_PIM_SCAN_01 647424 0.4847 0.0472 0.096 0.0537 0.2891 0.0215 0.0067
SW620_6h_12Glc_R1_PIM_SCAN_01 208000 0.8281 0.0261 0.1372 0.0023 0.0053 0.0012 -2e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 236224 0.8342 0.0193 0.1348 0.0056 0.0043 8e-04 0.0015
SW620_6h_12Glc_R3_PIM_SCAN_01 227456 0.8373 0.026 0.1291 0.0011 0.0059 -2e-04 0.0014
SW620_6h_UGln_R1_PIM_SCAN_01 123496 0.4657 0.0245 0.0627 0.0637 0.3212 0.045 0.0167
SW620_6h_UGln_R2_PIM_SCAN_01 77744 0.4621 0.0332 0.0557 0.0751 0.3049 0.0471 0.026
SW620_6h_UGln_R3_PIM_SCAN_01 100288 0.5065 0.0176 0.0758 0.0565 0.2724 0.0553 0.0154
