###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_12Glc_R1_PIM_SCAN_01 126456 0.9278 0.0173 0.0525 0.002 1e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 167232 1.0011 -0.004 0.0012 -6e-04 0.0021
SW620_24h_12Glc_R3_PIM_SCAN_01 431616 0.9142 0.0234 0.0559 0.0064 -3e-04
SW620_24h_cold_R2_PIM_SCAN_01 199616 0.9834 0.0134 0.0029 -6e-04 4e-04
SW620_24h_UGln_R1_PIM_SCAN_01 129680 0.4733 0.0452 0.1042 0.0427 0.3394
SW620_24h_UGln_R2_PIM_SCAN_01 114520 0.4712 0.0457 0.1006 0.0441 0.3359
SW620_24h_UGln_R3_PIM_SCAN_01 177600 0.465 0.0427 0.1067 0.0448 0.3344
SW620_6h_12Glc_R1_PIM_SCAN_01 36376 1.0249 -0.0024 -0.0149 0.0055 -0.0139
SW620_6h_12Glc_R2_PIM_SCAN_01 36752 1.0148 0.0082 -0.0196 -0.0027 -0.0046
SW620_6h_12Glc_R3_PIM_SCAN_01 42296 0.9848 0.0362 -0.0174 -0.0045 0.0019
SW620_6h_UGln_R1_PIM_SCAN_01 26776 0.5061 0.0301 0.0457 0.0532 0.3747
SW620_6h_UGln_R2_PIM_SCAN_01 19008 0.4908 0.0153 0.0607 0.0635 0.3688
SW620_6h_UGln_R3_PIM_SCAN_01 13673 0.5668 0.0037 0.0436 0.0494 0.3434

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4
 0.0123562 -0.0071854 -0.0033467 -0.0007138 -0.0004897
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_cold_R2_PIM_SCAN_01 199616 0.9834 0.0134 0.0029 -6e-04 4e-04
SW620_24h_12Glc_R1_PIM_SCAN_01 126456 0.9443 0.0039 0.0496 0.0027 -2e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 167232 1.0177 -0.0174 -0.0018 0 0.0017
SW620_24h_12Glc_R3_PIM_SCAN_01 431616 0.9308 0.01 0.053 0.0071 -6e-04
SW620_24h_UGln_R1_PIM_SCAN_01 129680 0.4899 0.0318 0.1013 0.0433 0.339
SW620_24h_UGln_R2_PIM_SCAN_01 114520 0.4878 0.0323 0.0976 0.0447 0.3355
SW620_24h_UGln_R3_PIM_SCAN_01 177600 0.4816 0.0293 0.1038 0.0454 0.334
SW620_6h_12Glc_R1_PIM_SCAN_01 36376 1.0415 -0.0158 -0.0178 0.0061 -0.0143
SW620_6h_12Glc_R2_PIM_SCAN_01 36752 1.0314 -0.0052 -0.0226 -0.0021 -0.005
SW620_6h_12Glc_R3_PIM_SCAN_01 42296 1.0014 0.0228 -0.0203 -0.0039 0.0015
SW620_6h_UGln_R1_PIM_SCAN_01 26776 0.5227 0.0168 0.0428 0.0538 0.3743
SW620_6h_UGln_R2_PIM_SCAN_01 19008 0.5074 0.0019 0.0578 0.0641 0.3685
SW620_6h_UGln_R3_PIM_SCAN_01 13673 0.5833 -0.0097 0.0407 0.05 0.343
