###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4 m5
SW620_24h_12Glc_R1_PIM_SCAN_01 8388096 0.9537 0.1252 -0.0733 -0.0082 0.0016 9e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 8388096 1.0604 0.1075 -0.1547 -0.0135 1e-04 4e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 8388096 0.8985 0.1886 -0.0768 -0.0137 0.0024 9e-04
SW620_24h_cold_R2_PIM_SCAN_01 8388096 1.0583 0.1288 -0.1746 -0.0125 -2e-04 2e-04
SW620_24h_UGln_R1_PIM_SCAN_01 8349184 0.5291 0.0291 -0.0539 0.0984 0.0157 0.3828
SW620_24h_UGln_R2_PIM_SCAN_01 7036416 0.5305 0.0257 -0.0694 0.1053 0.0159 0.3906
SW620_24h_UGln_R3_PIM_SCAN_01 8388096 0.4793 0.0505 -0.0605 0.1027 0.0166 0.4095
SW620_6h_12Glc_R1_PIM_SCAN_01 8032256 1.1373 -0.0051 -0.1283 -0.0034 -5e-04 -1e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 8150528 1.1337 0.0106 -0.1385 -0.0058 -2e-04 3e-04
SW620_6h_12Glc_R3_PIM_SCAN_01 8388096 1.1101 0.0348 -0.1376 -0.0071 1e-04 -2e-04
SW620_6h_UGln_R1_PIM_SCAN_01 4677632 0.5471 0.0093 -0.1377 0.07 0.0201 0.4913
SW620_6h_UGln_R2_PIM_SCAN_01 2911232 0.5907 0.0074 -0.2066 0.0697 0.0181 0.5229
SW620_6h_UGln_R3_PIM_SCAN_01 3578880 0.5979 0.0019 -0.1812 0.0673 0.0192 0.4931
