###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4 m5 m6
SW620_24h_12Glc_R1_PIM_SCAN_01 87360 1.3988 -0.1815 0.2573 -0.4333 -0.004 -0.0186 -0.0239
SW620_24h_12Glc_R2_PIM_SCAN_01 121392 1.3814 -0.2103 0.1299 -0.2648 0.0286 -0.0579 -0.0095
SW620_24h_12Glc_R3_PIM_SCAN_01 149440 2.2179 -0.2793 1.4351 -2.1473 -0.1123 -0.0855 0.0054
SW620_24h_cold_R2_PIM_SCAN_01 136512 1.9214 -0.2804 1.0618 -1.5469 -0.0662 -0.0719 0.0053
SW620_24h_UGln_R1_PIM_SCAN_01 131056 1.6382 -0.2115 0.3849 -0.6665 0.0217 -0.0341 0.535
SW620_24h_UGln_R2_PIM_SCAN_01 94504 1.1779 -0.0807 -0.0852 -0.0134 0.022 -0.0022 -0.0039
SW620_24h_UGln_R3_PIM_SCAN_01 204352 1.5526 -0.173 0.2815 -0.5208 4e-04 -0.0371 0.4692
SW620_6h_12Glc_R1_PIM_SCAN_01 46552 1.3612 -0.1718 0.239 -0.3833 -0.0079 -0.0295 0.0021
SW620_6h_12Glc_R2_PIM_SCAN_01 40392 1.335 -0.1499 0.2189 -0.3811 -0.0137 0.0025 0.0056
SW620_6h_12Glc_R3_PIM_SCAN_01 67512 1.45 -0.15 0.3343 -0.5795 -0.007 -0.0356 0.011
SW620_6h_UGln_R1_PIM_SCAN_01 57536 1.4356 -0.2139 0.1053 -0.2503 -0.0399 0.0354 0.1875
SW620_6h_UGln_R2_PIM_SCAN_01 29384 0.7791 -0.0739 -0.8475 1.1272 0.0348 -0.0254 0.0065
SW620_6h_UGln_R3_PIM_SCAN_01 41128 1.0423 -0.1753 -0.3152 0.4067 0.0604 -0.0101 0.0185

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4 CF_m5 CF_m6
-0.57942 -0.03862 -0.71399  0.77121  0.28031  0.19341  0.04746
Sample_file Max_intensity m0 m1 m2 m3 m4 m5 m6
SW620_24h_cold_R2_PIM_SCAN_01 136512 1.9214 -0.2804 1.0618 -1.5469 -0.0662 -0.0719 0.0053
SW620_24h_12Glc_R1_PIM_SCAN_01 87360 0.4774 0.0989 -0.8045 1.1136 0.0622 0.0533 -0.0292
SW620_24h_12Glc_R2_PIM_SCAN_01 121392 0.46 0.0701 -0.932 1.2821 0.0947 0.014 -0.0147
SW620_24h_12Glc_R3_PIM_SCAN_01 149440 1.2965 0.0011 0.3733 -0.6004 -0.0462 -0.0136 1e-04
SW620_24h_UGln_R1_PIM_SCAN_01 131056 0.7168 0.0689 -0.6769 0.8804 0.0878 0.0378 0.5297
SW620_24h_UGln_R2_PIM_SCAN_01 94504 0.2565 0.1997 -1.147 1.5336 0.0882 0.0697 -0.0091
SW620_24h_UGln_R3_PIM_SCAN_01 204352 0.6312 0.1074 -0.7803 1.0261 0.0666 0.0348 0.4639
SW620_6h_12Glc_R1_PIM_SCAN_01 46552 0.4398 0.1086 -0.8229 1.1636 0.0583 0.0424 -0.0031
SW620_6h_12Glc_R2_PIM_SCAN_01 40392 0.4136 0.1305 -0.8429 1.1658 0.0524 0.0744 4e-04
SW620_6h_12Glc_R3_PIM_SCAN_01 67512 0.5286 0.1304 -0.7275 0.9674 0.0592 0.0363 0.0058
SW620_6h_UGln_R1_PIM_SCAN_01 57536 0.5142 0.0665 -0.9565 1.2966 0.0263 0.1073 0.1823
SW620_6h_UGln_R2_PIM_SCAN_01 29384 -0.1423 0.2065 -1.9093 2.6741 0.1009 0.0465 0.0012
SW620_6h_UGln_R3_PIM_SCAN_01 41128 0.1209 0.105 -1.377 1.9536 0.1265 0.0618 0.0132
