###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_12Glc_R1_PIM_SCAN_01 1903 1.1831 -0.0022 -0.1659 -0.0583 0.0814
SW620_24h_12Glc_R2_PIM_SCAN_01 3315 1.0322 0.0025 0.0226 -0.1079 0.0507
SW620_24h_12Glc_R3_PIM_SCAN_01 3653 0.8909 -0.0269 0.1462 -0.019 0.0599
SW620_24h_cold_R2_PIM_SCAN_01 2868 0.9312 0.0492 0.1074 -0.0722 -0.0258
SW620_24h_UGln_R1_PIM_SCAN_01 2738 0.9919 -0.2017 0.1271 0.0497 0.0555
SW620_24h_UGln_R2_PIM_SCAN_01 2560 1.1325 -0.2606 -0.0943 0.2154 0.0209
SW620_24h_UGln_R3_PIM_SCAN_01 4957 1.235 -0.232 -0.0039 0.0013 0.0308
SW620_6h_12Glc_R1_PIM_SCAN_01 1734 1.0682 0.0676 -0.1648 0.1064 -0.1765
SW620_6h_12Glc_R3_PIM_SCAN_01 2246 0.9734 0.1581 -0.2644 -0.0584 0.0772
SW620_6h_UGln_R1_PIM_SCAN_01 1533 0.9534 0.1137 -0.1024 0.0607 -0.0478
SW620_6h_UGln_R2_PIM_SCAN_01 2286 1.2625 -0.0596 -0.3652 0.14 0.1526
SW620_6h_UGln_R3_PIM_SCAN_01 1256 1.2526 -0.4913 0.0863 -0.0375 0.3201

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4
 0.05070 -0.02420 -0.08477  0.03438  0.02419
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_cold_R2_PIM_SCAN_01 2868 0.9312 0.0492 0.1074 -0.0722 -0.0258
SW620_24h_12Glc_R1_PIM_SCAN_01 1903 1.2519 -0.0514 -0.2733 0.0139 0.1073
SW620_24h_12Glc_R2_PIM_SCAN_01 3315 1.1011 -0.0468 -0.0848 -0.0357 0.0765
SW620_24h_12Glc_R3_PIM_SCAN_01 3653 0.9597 -0.0761 0.0387 0.0532 0.0857
SW620_24h_UGln_R1_PIM_SCAN_01 2738 1.0607 -0.251 0.0197 0.1219 0.0813
SW620_24h_UGln_R2_PIM_SCAN_01 2560 1.2013 -0.3099 -0.2017 0.2876 0.0468
SW620_24h_UGln_R3_PIM_SCAN_01 4957 1.3038 -0.2812 -0.1114 0.0735 0.0566
SW620_6h_12Glc_R1_PIM_SCAN_01 1734 1.137 0.0183 -0.2722 0.1786 -0.1507
SW620_6h_12Glc_R3_PIM_SCAN_01 2246 1.0422 0.1088 -0.3718 0.0138 0.103
SW620_6h_UGln_R1_PIM_SCAN_01 1533 1.0222 0.0645 -0.2098 0.1329 -0.022
SW620_6h_UGln_R2_PIM_SCAN_01 2286 1.3313 -0.1088 -0.4727 0.2122 0.1784
SW620_6h_UGln_R3_PIM_SCAN_01 1256 1.3214 -0.5405 -0.0211 0.0347 0.3459
