###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3
SW620_24h_12Glc_R1_PIM_SCAN_01 4666880 0.7887 0.0143 0.1958 1e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 5509632 0.9942 -3e-04 0.0056 2e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 5401088 0.7948 0.0134 0.1923 -0.0011
SW620_24h_cold_R2_PIM_SCAN_01 6552576 0.9956 -0.0014 0.0053 5e-04
SW620_24h_UGln_R1_PIM_SCAN_01 4819968 0.9848 -0.0021 0.0075 0.0097
SW620_24h_UGln_R2_PIM_SCAN_01 5423616 0.9718 6e-04 0.01 0.0174
SW620_24h_UGln_R3_PIM_SCAN_01 8388096 0.8541 0.1076 0.0288 0.0092
SW620_6h_12Glc_R1_PIM_SCAN_01 953216 0.8318 0.0099 0.1544 -9e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 991168 0.8496 0.0122 0.1351 -0.0017
SW620_6h_12Glc_R3_PIM_SCAN_01 1347072 0.8456 0.0116 0.1394 0.0014
SW620_6h_UGln_R1_PIM_SCAN_01 1321984 0.9787 -0.0016 0.0104 0.0084
SW620_6h_UGln_R2_PIM_SCAN_01 1452544 0.9775 1e-04 0.0106 0.0091
SW620_6h_UGln_R3_PIM_SCAN_01 897856 0.972 -0.0032 0.0206 0.006

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3
 0.003338  0.001796 -0.003537 -0.001052
Sample_file Max_intensity m0 m1 m2 m3
SW620_24h_cold_R2_PIM_SCAN_01 6552576 0.9956 -0.0014 0.0053 5e-04
SW620_24h_12Glc_R1_PIM_SCAN_01 4666880 0.7931 0.0156 0.1905 -4e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 5509632 0.9987 0.001 3e-04 -3e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 5401088 0.7992 0.0148 0.187 -0.0016
SW620_24h_UGln_R1_PIM_SCAN_01 4819968 0.9892 -7e-04 0.0022 0.0092
SW620_24h_UGln_R2_PIM_SCAN_01 5423616 0.9762 0.002 0.0047 0.0169
SW620_24h_UGln_R3_PIM_SCAN_01 8388096 0.8586 0.109 0.0236 0.0088
SW620_6h_12Glc_R1_PIM_SCAN_01 953216 0.8363 0.0113 0.1492 -0.0014
SW620_6h_12Glc_R2_PIM_SCAN_01 991168 0.854 0.0135 0.1298 -0.0022
SW620_6h_12Glc_R3_PIM_SCAN_01 1347072 0.85 0.013 0.1341 0.001
SW620_6h_UGln_R1_PIM_SCAN_01 1321984 0.9831 -2e-04 0.0052 0.008
SW620_6h_UGln_R2_PIM_SCAN_01 1452544 0.982 0.0015 0.0054 0.0086
SW620_6h_UGln_R3_PIM_SCAN_01 897856 0.9765 -0.0019 0.0153 0.0055
