###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4 m5 m6
SW620_24h_12Glc_R1_PIM_SCAN_01 3202048 0.9963 -0.0053 0.0092 -8e-04 4e-04 1e-04 0
SW620_24h_12Glc_R2_PIM_SCAN_01 3852288 0.9999 -0.0057 0.0053 6e-04 -2e-04 1e-04 0
SW620_24h_12Glc_R3_PIM_SCAN_01 8388096 0.98 0.0119 0.0095 -0.0021 5e-04 2e-04 0
SW620_24h_cold_R2_PIM_SCAN_01 5751296 1.0067 -0.0103 0.0033 -3e-04 4e-04 2e-04 0
SW620_24h_UGln_R1_PIM_SCAN_01 3692544 0.4543 -0.0011 0.0033 0.0099 0.0203 0.5157 -0.0038
SW620_24h_UGln_R2_PIM_SCAN_01 1581568 0.4422 -0.0015 0.0046 0.0104 0.0205 0.5265 -0.0036
SW620_24h_UGln_R3_PIM_SCAN_01 7535616 0.4555 -0.0012 0.0041 0.0095 0.0203 0.5151 -0.0043
SW620_6h_12Glc_R1_PIM_SCAN_01 1723392 0.9981 -0.0046 0.0064 3e-04 -7e-04 4e-04 2e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 1592832 1.0063 -0.0112 0.004 3e-04 3e-04 2e-04 0
SW620_6h_12Glc_R3_PIM_SCAN_01 3045376 1.0043 -0.0088 0.0037 7e-04 0 0 0
SW620_6h_UGln_R1_PIM_SCAN_01 1592832 0.4388 -0.0013 0.0047 0.0026 0.02 0.5389 -0.0047
SW620_6h_UGln_R2_PIM_SCAN_01 166848 0.4627 0.001 8e-04 0.0036 0.0149 0.5191 -0.0071
SW620_6h_UGln_R3_PIM_SCAN_01 496256 0.4676 -7e-04 0.0035 0.0038 0.0186 0.5064 -0.0021

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4 CF_m5 CF_m6
-4.207e-03  4.951e-03 -4.199e-04  3.538e-04 -2.909e-04 -1.789e-04 -9.142e-05
Sample_file Max_intensity m0 m1 m2 m3 m4 m5 m6
SW620_24h_cold_R2_PIM_SCAN_01 5751296 1.0067 -0.0103 0.0033 -3e-04 4e-04 2e-04 0
SW620_24h_12Glc_R1_PIM_SCAN_01 3202048 0.9896 0.0049 0.006 -5e-04 0 0 0
SW620_24h_12Glc_R2_PIM_SCAN_01 3852288 0.9932 0.0046 0.002 9e-04 -6e-04 0 0
SW620_24h_12Glc_R3_PIM_SCAN_01 8388096 0.9733 0.0221 0.0062 -0.0018 1e-04 0 0
SW620_24h_UGln_R1_PIM_SCAN_01 3692544 0.4477 0.0091 1e-04 0.0103 0.02 0.5156 -0.0038
SW620_24h_UGln_R2_PIM_SCAN_01 1581568 0.4355 0.0088 0.0013 0.0107 0.0201 0.5263 -0.0036
SW620_24h_UGln_R3_PIM_SCAN_01 7535616 0.4488 0.009 8e-04 0.0098 0.0199 0.5149 -0.0044
SW620_6h_12Glc_R1_PIM_SCAN_01 1723392 0.9914 0.0057 0.0032 6e-04 -0.0011 2e-04 2e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 1592832 0.9996 -9e-04 7e-04 6e-04 0 0 0
SW620_6h_12Glc_R3_PIM_SCAN_01 3045376 0.9976 0.0015 5e-04 0.001 -4e-04 -1e-04 -1e-04
SW620_6h_UGln_R1_PIM_SCAN_01 1592832 0.4321 0.0089 0.0014 0.0029 0.0196 0.5387 -0.0047
SW620_6h_UGln_R2_PIM_SCAN_01 166848 0.456 0.0112 -0.0024 0.0039 0.0145 0.5189 -0.0071
SW620_6h_UGln_R3_PIM_SCAN_01 496256 0.4609 0.0096 3e-04 0.0041 0.0182 0.5063 -0.0021
