###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_12Glc_R1_PIM_SCAN_01 761984 0.9254 0.0117 0.0582 0.0056 -0.0015
SW620_24h_12Glc_R2_PIM_SCAN_01 991744 0.9901 0.0045 0.0028 0.0023 1e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 1341952 0.9248 0.0136 0.0567 0.0034 0.0018
SW620_24h_cold_R2_PIM_SCAN_01 1164800 1.0002 -0.0101 0.0102 -0.0011 0
SW620_24h_UGln_R1_PIM_SCAN_01 643008 0.4667 0.0376 0.105 0.0478 0.3414
SW620_24h_UGln_R2_PIM_SCAN_01 408512 0.469 0.0378 0.1066 0.0478 0.3378
SW620_24h_UGln_R3_PIM_SCAN_01 807040 0.4738 0.0422 0.1047 0.0442 0.3308
SW620_6h_12Glc_R1_PIM_SCAN_01 509952 0.9741 -5e-04 0.0243 0.0013 1e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 452160 0.9638 0.01 0.0228 0.0019 0.0014
SW620_6h_12Glc_R3_PIM_SCAN_01 501120 0.9707 -0.0022 0.0312 -9e-04 9e-04
SW620_6h_UGln_R1_PIM_SCAN_01 273216 0.4846 0.0082 0.0629 0.0678 0.3761
SW620_6h_UGln_R2_PIM_SCAN_01 199872 0.4749 0.0131 0.0713 0.0655 0.3729
SW620_6h_UGln_R3_PIM_SCAN_01 248448 0.5058 0.0168 0.0624 0.0644 0.3467

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4
-0.0001496  0.0065052 -0.0045067 -0.0004815 -0.0005552
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_cold_R2_PIM_SCAN_01 1164800 1.0002 -0.0101 0.0102 -0.0011 0
SW620_24h_12Glc_R1_PIM_SCAN_01 761984 0.9251 0.0218 0.048 0.0067 -0.0015
SW620_24h_12Glc_R2_PIM_SCAN_01 991744 0.9899 0.0146 -0.0074 0.0034 1e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 1341952 0.9245 0.0237 0.0465 0.0045 0.0018
SW620_24h_UGln_R1_PIM_SCAN_01 643008 0.4665 0.0477 0.0948 0.0488 0.3414
SW620_24h_UGln_R2_PIM_SCAN_01 408512 0.4688 0.0479 0.0964 0.0489 0.3378
SW620_24h_UGln_R3_PIM_SCAN_01 807040 0.4736 0.0523 0.0945 0.0453 0.3308
SW620_6h_12Glc_R1_PIM_SCAN_01 509952 0.9739 0.0096 0.0141 0.0024 1e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 452160 0.9635 0.0201 0.0126 0.0029 0.0014
SW620_6h_12Glc_R3_PIM_SCAN_01 501120 0.9705 0.0079 0.021 2e-04 9e-04
SW620_6h_UGln_R1_PIM_SCAN_01 273216 0.4844 0.0183 0.0527 0.0689 0.3761
SW620_6h_UGln_R2_PIM_SCAN_01 199872 0.4746 0.0232 0.0611 0.0666 0.3729
SW620_6h_UGln_R3_PIM_SCAN_01 248448 0.5055 0.0269 0.0522 0.0655 0.3467
