###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4 m5
SW620_24h_12Glc_R1_PIM_SCAN_01 144192 0.9747 0.017 0.006 0.0031 0.0034 -6e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 156608 1.0139 -0.0116 -0.004 2e-04 0.0022 6e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 243392 0.9681 0.0179 0.0177 -9e-04 -0.0033 -9e-04
SW620_24h_cold_R2_PIM_SCAN_01 189248 1.0065 -0.004 3e-04 0.0087 -0.0114 0
SW620_24h_UGln_R1_PIM_SCAN_01 160000 0.9906 0.0145 0.0045 -0.0047 -0.0038 0.0013
SW620_24h_UGln_R2_PIM_SCAN_01 142592 0.9982 -6e-04 0.0102 -0.0059 -0.0041 0.0023
SW620_24h_UGln_R3_PIM_SCAN_01 270208 0.9943 0.0138 0.0049 -0.0047 -0.0046 2e-04
SW620_6h_12Glc_R1_PIM_SCAN_01 79040 0.9878 0.0029 0.0035 0.0034 0.0103 -0.0016
SW620_6h_12Glc_R2_PIM_SCAN_01 73864 0.9885 0.0137 -0.0058 0.0062 0.0038 -3e-04
SW620_6h_12Glc_R3_PIM_SCAN_01 108640 1.0023 -0.003 -0.0014 0.0065 0 -0.0016
SW620_6h_UGln_R1_PIM_SCAN_01 79544 0.989 0.0044 0.0033 0.0051 0.0038 -0.0024
SW620_6h_UGln_R2_PIM_SCAN_01 58416 1.0011 -0.0097 0.018 0.0013 -0.002 -0.001
SW620_6h_UGln_R3_PIM_SCAN_01 62784 1.0184 0.0053 -0.0173 -0.0034 0.0067 -0.0013

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4 CF_m5
-0.0045344  0.0016886 -0.0001282 -0.0060868  0.0069853  0.0009411
Sample_file Max_intensity m0 m1 m2 m3 m4 m5
SW620_24h_cold_R2_PIM_SCAN_01 189248 1.0065 -0.004 3e-04 0.0087 -0.0114 0
SW620_24h_12Glc_R1_PIM_SCAN_01 144192 0.9682 0.021 0.0057 -0.0056 0.0148 -6e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 156608 1.0075 -0.0076 -0.0042 -0.0085 0.0135 6e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 243392 0.9616 0.0219 0.0175 -0.0096 0.008 -9e-04
SW620_24h_UGln_R1_PIM_SCAN_01 160000 0.9841 0.0185 0.0043 -0.0134 0.0075 0.0014
SW620_24h_UGln_R2_PIM_SCAN_01 142592 0.9917 0.0034 0.01 -0.0146 0.0073 0.0023
SW620_24h_UGln_R3_PIM_SCAN_01 270208 0.9879 0.0178 0.0047 -0.0135 0.0067 3e-04
SW620_6h_12Glc_R1_PIM_SCAN_01 79040 0.9813 0.0069 0.0032 -0.0054 0.0217 -0.0016
SW620_6h_12Glc_R2_PIM_SCAN_01 73864 0.982 0.0177 -0.006 -0.0025 0.0152 -3e-04
SW620_6h_12Glc_R3_PIM_SCAN_01 108640 0.9959 0.001 -0.0016 -0.0022 0.0114 -0.0016
SW620_6h_UGln_R1_PIM_SCAN_01 79544 0.9826 0.0084 0.0031 -0.0036 0.0151 -0.0024
SW620_6h_UGln_R2_PIM_SCAN_01 58416 0.9946 -0.0057 0.0177 -0.0074 0.0093 -9e-04
SW620_6h_UGln_R3_PIM_SCAN_01 62784 1.012 0.0093 -0.0176 -0.0121 0.0181 -0.0012
