###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_12Glc_R1_PIM_SCAN_01 176384 1.0087 -0.0155 0.0174 -0.0014 -0.0019
SW620_24h_12Glc_R2_PIM_SCAN_01 194688 1.0201 -0.0055 -0.0055 0 -0.002
SW620_24h_12Glc_R3_PIM_SCAN_01 303296 0.9922 0.0048 0.0079 0.0012 -0.0018
SW620_24h_cold_R2_PIM_SCAN_01 233600 1.0023 0.0036 0.0022 0 -0.0048
SW620_24h_UGln_R1_PIM_SCAN_01 203008 0.9943 0.0073 0.0055 0.0017 -0.003
SW620_24h_UGln_R2_PIM_SCAN_01 181056 1.0154 -0.01 0.0022 0.0015 -0.001
SW620_24h_UGln_R3_PIM_SCAN_01 332416 1.0018 8e-04 0.0021 -3e-04 -0.003
SW620_6h_12Glc_R1_PIM_SCAN_01 95288 1.0047 5e-04 0.0149 -0.0049 -0.0012
SW620_6h_12Glc_R2_PIM_SCAN_01 95040 1.0101 0.0012 0.009 -0.0059 -8e-04
SW620_6h_12Glc_R3_PIM_SCAN_01 138880 1.0002 0.0137 -0.0094 0.003 8e-04
SW620_6h_UGln_R1_PIM_SCAN_01 111872 1.0204 -0.005 0.0056 -0.0071 -0.0025
SW620_6h_UGln_R2_PIM_SCAN_01 76168 1.0114 8e-04 -0.0028 0.0016 -0.0023
SW620_6h_UGln_R3_PIM_SCAN_01 76496 1.0161 -0.0083 0.0032 0 -0.0021

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4
-0.0016271 -0.0029983 -0.0024518 -0.0007337  0.0033476
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_cold_R2_PIM_SCAN_01 233600 1.0023 0.0036 0.0022 0 -0.0048
SW620_24h_12Glc_R1_PIM_SCAN_01 176384 1.0064 -0.0191 0.0152 -0.0014 0.0029
SW620_24h_12Glc_R2_PIM_SCAN_01 194688 1.0178 -0.0092 -0.0077 0 0.0029
SW620_24h_12Glc_R3_PIM_SCAN_01 303296 0.9899 0.0011 0.0057 0.0013 0.003
SW620_24h_UGln_R1_PIM_SCAN_01 203008 0.992 0.0037 0.0033 0.0017 0.0018
SW620_24h_UGln_R2_PIM_SCAN_01 181056 1.0131 -0.0137 0 0.0015 0.0038
SW620_24h_UGln_R3_PIM_SCAN_01 332416 0.9995 -0.0028 -1e-04 -3e-04 0.0018
SW620_6h_12Glc_R1_PIM_SCAN_01 95288 1.0024 -0.0032 0.0127 -0.0049 0.0036
SW620_6h_12Glc_R2_PIM_SCAN_01 95040 1.0078 -0.0024 0.0068 -0.0059 0.0041
SW620_6h_12Glc_R3_PIM_SCAN_01 138880 0.9979 0.0101 -0.0116 0.003 0.0056
SW620_6h_UGln_R1_PIM_SCAN_01 111872 1.0181 -0.0086 0.0034 -0.0071 0.0024
SW620_6h_UGln_R2_PIM_SCAN_01 76168 1.0091 -0.0028 -0.0051 0.0016 0.0025
SW620_6h_UGln_R3_PIM_SCAN_01 76496 1.0138 -0.012 0.001 0 0.0027
