###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4 m5 m6 m7 m8 m9
SW620_24h_12Glc_R1_PIM_SCAN_01 299584 0.9865 0.0034 0.0096 -0.0023 8e-04 -9e-04 7e-04 0 0.0012 -1e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 352768 0.9942 0.0015 -2e-04 0.0012 9e-04 6e-04 -8e-04 -1e-04 0.0017 1e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 475328 0.987 0.0101 0.0022 -0.0013 -2e-04 8e-04 4e-04 4e-04 -0.0012 8e-04
SW620_24h_cold_R2_PIM_SCAN_01 415616 0.9918 0.0092 -0.0031 0.0016 0.0016 -2e-04 -1e-04 -3e-04 -8e-04 0
SW620_24h_UGln_R1_PIM_SCAN_01 344704 0.9965 -0.0017 0.0058 -4e-04 5e-04 -4e-04 -1e-04 3e-04 0 -3e-04
SW620_24h_UGln_R2_PIM_SCAN_01 331968 0.9881 0.0041 0.0086 -0.0029 2e-04 7e-04 -6e-04 -2e-04 4e-04 4e-04
SW620_24h_UGln_R3_PIM_SCAN_01 596864 0.9914 0.0048 3e-04 0.002 0 -5e-04 7e-04 5e-04 -1e-04 -3e-04
SW620_6h_12Glc_R1_PIM_SCAN_01 145152 0.9882 0.0115 -0.0055 0.0023 3e-04 7e-04 -1e-04 1e-04 9e-04 -5e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 133120 0.9906 0.0016 0.0061 -0.0019 -0.0017 0.0023 2e-04 0 -4e-04 0.0012
SW620_6h_12Glc_R3_PIM_SCAN_01 223232 0.9956 0.0016 -2e-04 0.001 3e-04 2e-04 -3e-04 3e-04 0 0.0013
SW620_6h_UGln_R1_PIM_SCAN_01 160640 0.9984 -0.0067 0.0033 0.0029 7e-04 0.001 -0.001 -1e-04 0.0015 -3e-04
SW620_6h_UGln_R2_PIM_SCAN_01 128648 0.9896 0.0015 0.007 -0.0025 7e-04 0.0012 -0.0011 4e-04 3e-04 5e-04
SW620_6h_UGln_R3_PIM_SCAN_01 132224 0.9867 0.0103 -0.0045 -0.001 0.0031 5e-04 -4e-04 -4e-04 0.0041 1e-04

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4 CF_m5 CF_m6 CF_m7 CF_m8 CF_m9
 5.792e-03 -4.907e-03  1.038e-03 -1.095e-03 -1.359e-03 -2.446e-04 -4.913e-05  2.690e-04  6.895e-04  1.232e-04
Sample_file Max_intensity m0 m1 m2 m3 m4 m5 m6 m7 m8 m9
SW620_24h_cold_R2_PIM_SCAN_01 415616 0.9918 0.0092 -0.0031 0.0016 0.0016 -2e-04 -1e-04 -3e-04 -8e-04 0
SW620_24h_12Glc_R1_PIM_SCAN_01 299584 0.9947 -0.0059 0.0127 -0.0038 -9e-04 -7e-04 8e-04 3e-04 0.002 -1e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 352768 1.0024 -0.0078 0.003 -3e-04 -7e-04 8e-04 -7e-04 3e-04 0.0026 1e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 475328 0.9953 8e-04 0.0054 -0.0029 -0.0018 0.001 5e-04 8e-04 -4e-04 7e-04
SW620_24h_UGln_R1_PIM_SCAN_01 344704 1.0047 -0.011 0.0089 -0.002 -0.0011 -3e-04 0 7e-04 9e-04 -4e-04
SW620_24h_UGln_R2_PIM_SCAN_01 331968 0.9963 -0.0052 0.0118 -0.0044 -0.0014 9e-04 -5e-04 2e-04 0.0012 4e-04
SW620_24h_UGln_R3_PIM_SCAN_01 596864 0.9996 -0.0044 0.0035 5e-04 -0.0016 -3e-04 8e-04 8e-04 7e-04 -4e-04
SW620_6h_12Glc_R1_PIM_SCAN_01 145152 0.9964 0.0023 -0.0024 8e-04 -0.0013 9e-04 -1e-04 5e-04 0.0018 -5e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 133120 0.9988 -0.0077 0.0093 -0.0035 -0.0034 0.0025 2e-04 3e-04 4e-04 0.0011
SW620_6h_12Glc_R3_PIM_SCAN_01 223232 1.0038 -0.0076 0.0029 -6e-04 -0.0013 4e-04 -2e-04 7e-04 8e-04 0.0013
SW620_6h_UGln_R1_PIM_SCAN_01 160640 1.0066 -0.016 0.0065 0.0013 -9e-04 0.0011 -9e-04 2e-04 0.0024 -4e-04
SW620_6h_UGln_R2_PIM_SCAN_01 128648 0.9978 -0.0077 0.0101 -0.0041 -9e-04 0.0014 -0.0011 7e-04 0.0011 4e-04
SW620_6h_UGln_R3_PIM_SCAN_01 132224 0.9949 0.001 -0.0013 -0.0026 0.0015 7e-04 -3e-04 0 0.0049 1e-04
