###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4 m5
SW620_24h_12Glc_R1_PIM_SCAN_01 558336 0.9997 0.0154 0.0475 -0.0282 -0.0316 -0.0016
SW620_24h_12Glc_R2_PIM_SCAN_01 802816 1.0145 -0.002 0.0041 0.0106 -0.0273 0.001
SW620_24h_12Glc_R3_PIM_SCAN_01 669888 1.4462 0.0109 0.0789 -0.4403 -0.0607 -0.0343
SW620_24h_cold_R2_PIM_SCAN_01 768000 1.1224 0.0055 0.0017 -0.1057 -0.0236 1e-04
SW620_24h_UGln_R1_PIM_SCAN_01 290624 0.5961 0.0327 0.0319 0.0184 -0.0276 0.4197
SW620_24h_UGln_R2_PIM_SCAN_01 428352 0.4945 0.0212 0.0267 0.099 -0.0083 0.361
SW620_24h_UGln_R3_PIM_SCAN_01 427584 0.6163 0.0295 0.0293 0.0053 -0.0222 0.4198
SW620_6h_12Glc_R1_PIM_SCAN_01 157312 1.149 -0.0048 0.0289 -0.0785 -0.0847 -0.0091
SW620_6h_12Glc_R2_PIM_SCAN_01 156864 0.8544 0.0147 0.0202 0.1767 -0.0641 -0.0024
SW620_6h_12Glc_R3_PIM_SCAN_01 217920 1.0107 0.0177 0.0278 0.0101 -0.0559 -0.0091
SW620_6h_UGln_R1_PIM_SCAN_01 115208 0.4774 0.0091 0.0163 0.1283 -0.0387 0.3999
SW620_6h_UGln_R2_PIM_SCAN_01 108456 0.3842 0.0035 0.0098 0.1951 -2e-04 0.3059
SW620_6h_UGln_R3_PIM_SCAN_01 96952 0.3848 0.0158 0.0088 0.2168 -0.0228 0.291

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4 CF_m5
-0.09018 -0.02626 -0.01073  0.07850  0.03495  0.01049
Sample_file Max_intensity m0 m1 m2 m3 m4 m5
SW620_24h_cold_R2_PIM_SCAN_01 768000 1.1224 0.0055 0.0017 -0.1057 -0.0236 1e-04
SW620_24h_12Glc_R1_PIM_SCAN_01 558336 0.8773 0.0099 0.0457 0.0775 -0.008 -0.0017
SW620_24h_12Glc_R2_PIM_SCAN_01 802816 0.8921 -0.0074 0.0024 0.1163 -0.0037 9e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 669888 1.3238 0.0054 0.0772 -0.3346 -0.037 -0.0344
SW620_24h_UGln_R1_PIM_SCAN_01 290624 0.4737 0.0272 0.0301 0.1241 -0.0039 0.4195
SW620_24h_UGln_R2_PIM_SCAN_01 428352 0.372 0.0157 0.0249 0.2047 0.0154 0.3609
SW620_24h_UGln_R3_PIM_SCAN_01 427584 0.4939 0.024 0.0276 0.111 0.0014 0.4196
SW620_6h_12Glc_R1_PIM_SCAN_01 157312 1.0266 -0.0103 0.0272 0.0272 -0.061 -0.0092
SW620_6h_12Glc_R2_PIM_SCAN_01 156864 0.732 0.0092 0.0185 0.2823 -0.0405 -0.0025
SW620_6h_12Glc_R3_PIM_SCAN_01 217920 0.8883 0.0122 0.0261 0.1158 -0.0322 -0.0092
SW620_6h_UGln_R1_PIM_SCAN_01 115208 0.355 0.0036 0.0145 0.234 -0.015 0.3997
SW620_6h_UGln_R2_PIM_SCAN_01 108456 0.2618 -0.0019 0.0081 0.3008 0.0235 0.3058
SW620_6h_UGln_R3_PIM_SCAN_01 96952 0.2623 0.0104 0.0071 0.3225 8e-04 0.2908
