###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_12Glc_R1_PIM_SCAN_01 796672 0.9284 0.0255 0.0444 0.0032 -0.0013
SW620_24h_12Glc_R2_PIM_SCAN_01 1131008 0.9983 0.001 0.0013 7e-04 -0.0014
SW620_24h_12Glc_R3_PIM_SCAN_01 938240 0.9334 0.0181 0.0471 0.0019 -6e-04
SW620_24h_cold_R2_PIM_SCAN_01 1056768 0.9957 0.0023 0.003 -4e-04 -5e-04
SW620_24h_UGln_R1_PIM_SCAN_01 402240 0.4857 0.0299 0.0993 0.0146 0.3716
SW620_24h_UGln_R2_PIM_SCAN_01 606016 0.4917 0.032 0.0993 0.0141 0.3636
SW620_24h_UGln_R3_PIM_SCAN_01 606912 0.487 0.0324 0.1007 0.0165 0.3643
SW620_6h_12Glc_R1_PIM_SCAN_01 223104 0.9758 0.0106 0.0176 -0.0017 -0.0027
SW620_6h_12Glc_R2_PIM_SCAN_01 224256 0.9831 0.0023 0.0176 -0.0011 -0.0017
SW620_6h_12Glc_R3_PIM_SCAN_01 324544 0.9757 0.0053 0.0198 7e-04 -0.0016
SW620_6h_UGln_R1_PIM_SCAN_01 146944 0.5343 -0.002 0.0634 0.0141 0.3912
SW620_6h_UGln_R2_PIM_SCAN_01 161280 0.5003 0.0152 0.0662 0.013 0.4016
SW620_6h_UGln_R3_PIM_SCAN_01 118496 0.5293 0.0158 0.0614 0.0157 0.3729

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4
 0.0031931 -0.0009469 -0.0023922 -0.0003019  0.0002690
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_cold_R2_PIM_SCAN_01 1056768 0.9957 0.0023 0.003 -4e-04 -5e-04
SW620_24h_12Glc_R1_PIM_SCAN_01 796672 0.9327 0.0233 0.0414 0.0036 -8e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 1131008 1.0026 -0.0013 -0.0018 0.0011 -9e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 938240 0.9377 0.0158 0.0441 0.0023 0
SW620_24h_UGln_R1_PIM_SCAN_01 402240 0.4899 0.0277 0.0962 0.015 0.3722
SW620_24h_UGln_R2_PIM_SCAN_01 606016 0.496 0.0297 0.0962 0.0145 0.3642
SW620_24h_UGln_R3_PIM_SCAN_01 606912 0.4913 0.0302 0.0977 0.0168 0.3648
SW620_6h_12Glc_R1_PIM_SCAN_01 223104 0.9801 0.0083 0.0146 -0.0014 -0.0022
SW620_6h_12Glc_R2_PIM_SCAN_01 224256 0.9874 0 0.0146 -8e-04 -0.0011
SW620_6h_12Glc_R3_PIM_SCAN_01 324544 0.9799 0.0031 0.0167 0.0011 -0.001
SW620_6h_UGln_R1_PIM_SCAN_01 146944 0.5386 -0.0043 0.0604 0.0145 0.3918
SW620_6h_UGln_R2_PIM_SCAN_01 161280 0.5046 0.013 0.0632 0.0134 0.4022
SW620_6h_UGln_R3_PIM_SCAN_01 118496 0.5336 0.0135 0.0584 0.0161 0.3734
