###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_12Glc_R1_PIM_SCAN_01 840448 0.9428 -0.0046 0.0564 0.004 0.0011
SW620_24h_12Glc_R2_PIM_SCAN_01 627008 1.0331 -0.0413 0.008 -8e-04 6e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 1309696 0.933 0.002 0.0603 0.0043 3e-04
SW620_24h_cold_R2_PIM_SCAN_01 802944 1.0132 -0.0214 0.0086 -5e-04 0
SW620_24h_UGln_R1_PIM_SCAN_01 401728 0.4656 0.0168 0.1027 0.0135 0.4034
SW620_24h_UGln_R2_PIM_SCAN_01 245696 0.4734 -0.0099 0.1072 0.0157 0.411
SW620_24h_UGln_R3_PIM_SCAN_01 514432 0.472 0.0138 0.1042 0.015 0.3929
SW620_6h_12Glc_R1_PIM_SCAN_01 624512 0.976 -0.003 0.0283 -0.002 5e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 526336 0.9721 -0.004 0.0315 -4e-04 4e-04
SW620_6h_12Glc_R3_PIM_SCAN_01 703616 0.9741 -0.0074 0.0315 0.0012 7e-04
SW620_6h_UGln_R1_PIM_SCAN_01 296448 0.4752 9e-04 0.0708 0.0165 0.4348
SW620_6h_UGln_R2_PIM_SCAN_01 184256 0.4696 -0.0017 0.0759 0.0159 0.44
SW620_6h_UGln_R3_PIM_SCAN_01 226432 0.4877 -0.0156 0.0732 0.0124 0.437

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4
-0.0098259  0.0138045 -0.0038351  0.0002555 -0.0002889
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_cold_R2_PIM_SCAN_01 802944 1.0132 -0.0214 0.0086 -5e-04 0
SW620_24h_12Glc_R1_PIM_SCAN_01 840448 0.9297 0.0168 0.0478 0.0044 0.0011
SW620_24h_12Glc_R2_PIM_SCAN_01 627008 1.0199 -0.0199 -6e-04 -3e-04 6e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 1309696 0.9199 0.0233 0.0517 0.0048 4e-04
SW620_24h_UGln_R1_PIM_SCAN_01 401728 0.4524 0.0382 0.0941 0.0139 0.4035
SW620_24h_UGln_R2_PIM_SCAN_01 245696 0.4603 0.0114 0.0987 0.0161 0.4111
SW620_24h_UGln_R3_PIM_SCAN_01 514432 0.4588 0.0352 0.0956 0.0154 0.393
SW620_6h_12Glc_R1_PIM_SCAN_01 624512 0.9628 0.0183 0.0197 -0.0015 6e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 526336 0.9589 0.0174 0.023 1e-04 4e-04
SW620_6h_12Glc_R3_PIM_SCAN_01 703616 0.9609 0.014 0.0229 0.0016 7e-04
SW620_6h_UGln_R1_PIM_SCAN_01 296448 0.462 0.0223 0.0622 0.0169 0.4349
SW620_6h_UGln_R2_PIM_SCAN_01 184256 0.4564 0.0197 0.0673 0.0164 0.44
SW620_6h_UGln_R3_PIM_SCAN_01 226432 0.4745 0.0058 0.0647 0.0128 0.437
