###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_12Glc_R1_PIM_SCAN_01 950208 0.9951 0.001 0.0051 -0.0012 -2e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 901568 0.9953 0.0036 5e-04 6e-04 -1e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 2286080 0.9979 -0.0021 0.0038 0 3e-04
SW620_24h_cold_R2_PIM_SCAN_01 1432576 0.9995 -0.0046 0.0057 -3e-04 -3e-04
SW620_24h_UGln_R1_PIM_SCAN_01 1218560 0.9971 0.0016 -9e-04 0.0013 9e-04
SW620_24h_UGln_R2_PIM_SCAN_01 731712 0.9957 0.0056 -0.0019 6e-04 -3e-04
SW620_24h_UGln_R3_PIM_SCAN_01 1911808 0.9943 0.0049 9e-04 -5e-04 4e-04
SW620_6h_12Glc_R1_PIM_SCAN_01 336256 0.9943 4e-04 0.0062 -0.0032 0.0025
SW620_6h_12Glc_R2_PIM_SCAN_01 293504 0.9905 0 0.0088 4e-04 -1e-04
SW620_6h_12Glc_R3_PIM_SCAN_01 501504 0.9958 0.0016 0.0031 -3e-04 -6e-04
SW620_6h_UGln_R1_PIM_SCAN_01 432320 0.9861 0.0076 0.005 6e-04 4e-04
SW620_6h_UGln_R2_PIM_SCAN_01 265344 0.9859 0.0085 0.0039 2e-04 6e-04
SW620_6h_UGln_R3_PIM_SCAN_01 249280 0.9844 0.0156 3e-04 -0.0015 8e-04

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4
 0.0003429  0.0031283 -0.0026574 -0.0005324 -0.0001910
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_cold_R2_PIM_SCAN_01 1432576 0.9995 -0.0046 0.0057 -3e-04 -3e-04
SW620_24h_12Glc_R1_PIM_SCAN_01 950208 0.9956 0.0056 -6e-04 -9e-04 1e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 901568 0.9958 0.0083 -0.0051 9e-04 2e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 2286080 0.9984 0.0026 -0.0019 3e-04 6e-04
SW620_24h_UGln_R1_PIM_SCAN_01 1218560 0.9977 0.0063 -0.0066 0.0017 0.0011
SW620_24h_UGln_R2_PIM_SCAN_01 731712 0.9963 0.0102 -0.0076 9e-04 0
SW620_24h_UGln_R3_PIM_SCAN_01 1911808 0.9949 0.0095 -0.0048 -2e-04 7e-04
SW620_6h_12Glc_R1_PIM_SCAN_01 336256 0.9949 0.005 5e-04 -0.0028 0.0028
SW620_6h_12Glc_R2_PIM_SCAN_01 293504 0.9911 0.0046 0.0031 8e-04 2e-04
SW620_6h_12Glc_R3_PIM_SCAN_01 501504 0.9963 0.0062 -0.0026 0 -3e-04
SW620_6h_UGln_R1_PIM_SCAN_01 432320 0.9867 0.0123 -6e-04 0.001 7e-04
SW620_6h_UGln_R2_PIM_SCAN_01 265344 0.9865 0.0131 -0.0017 5e-04 9e-04
SW620_6h_UGln_R3_PIM_SCAN_01 249280 0.9849 0.0202 -0.0054 -0.0012 0.0011
