###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4 m5 m6 m7 m8 m9
SW620_24h_12Glc_R1_PIM_SCAN_01 530048 0.9937 0.0077 0.0083 -0.0028 -6e-04 -2e-04 3e-04 -0.0037 -3e-04 -0.0018
SW620_24h_12Glc_R2_PIM_SCAN_01 614976 0.9976 0.0068 0.0025 0.0021 3e-04 -8e-04 -2e-04 -0.0056 -5e-04 -0.0022
SW620_24h_12Glc_R3_PIM_SCAN_01 862592 1.0001 0.0037 0.0051 -0.0026 0.0015 -3e-04 -2e-04 -0.0043 -8e-04 -0.0021
SW620_24h_cold_R2_PIM_SCAN_01 735296 1.017 -0.0135 0.0035 0.0016 2e-04 -0.0018 4e-04 -0.0047 -5e-04 -0.0022
SW620_24h_UGln_R1_PIM_SCAN_01 648192 0.999 0.0021 0.0041 0.0017 0.0015 -9e-04 3e-04 -0.0025 -0.0011 -0.0016
SW620_24h_UGln_R2_PIM_SCAN_01 520000 1.0023 0.0046 -0.0032 0.0021 0.0023 -0.0014 5e-04 -0.002 -0.0011 -0.0016
SW620_24h_UGln_R3_PIM_SCAN_01 1124864 1.0057 -0.0044 0.0033 0.0026 -5e-04 2e-04 -3e-04 -0.0029 -4e-04 -0.0013
SW620_6h_12Glc_R1_PIM_SCAN_01 248704 1.0022 1e-04 0.0034 -0.0017 -6e-04 7e-04 -1e-04 -0.0019 0 -0.0014
SW620_6h_12Glc_R2_PIM_SCAN_01 238784 0.9923 -0.0076 0.0207 -0.0023 0.001 9e-04 0.0013 -0.0036 -1e-04 -0.0022
SW620_6h_12Glc_R3_PIM_SCAN_01 396096 1.0093 -0.0093 0.0018 9e-04 -0.0011 8e-04 -1e-04 -0.0016 -2e-04 -8e-04
SW620_6h_UGln_R1_PIM_SCAN_01 289088 1.0024 -7e-04 -0.003 0.0059 2e-04 -0.0012 7e-04 -0.0019 0 -8e-04
SW620_6h_UGln_R2_PIM_SCAN_01 170752 0.9856 0.0079 0.007 -0.0016 1e-04 0.0018 0.0014 -0.0017 -1e-04 0.0016
SW620_6h_UGln_R3_PIM_SCAN_01 204480 0.9994 -0.0069 0.0119 -4e-04 -8e-04 -5e-04 0.0011 -0.001 0 -0.001

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4 CF_m5 CF_m6 CF_m7 CF_m8 CF_m9
-1.034e-02  4.082e-03 -7.379e-04 -8.570e-04 -5.860e-04  9.015e-04  6.054e-05  3.188e-03  1.381e-03  2.099e-03
Sample_file Max_intensity m0 m1 m2 m3 m4 m5 m6 m7 m8 m9
SW620_24h_cold_R2_PIM_SCAN_01 735296 1.017 -0.0135 0.0035 0.0016 2e-04 -0.0018 4e-04 -0.0047 -5e-04 -0.0022
SW620_24h_12Glc_R1_PIM_SCAN_01 530048 0.9767 0.0211 0.0048 -0.0044 -8e-04 0.0015 -2e-04 0.001 3e-04 4e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 614976 0.9806 0.0202 -0.001 5e-04 2e-04 0.001 -6e-04 -9e-04 0 0
SW620_24h_12Glc_R3_PIM_SCAN_01 862592 0.9831 0.0172 0.0016 -0.0042 0.0014 0.0015 -6e-04 4e-04 -2e-04 1e-04
SW620_24h_UGln_R1_PIM_SCAN_01 648192 0.982 0.0156 6e-04 1e-04 0.0014 9e-04 -1e-04 0.0022 -5e-04 6e-04
SW620_24h_UGln_R2_PIM_SCAN_01 520000 0.9853 0.018 -0.0067 5e-04 0.0022 4e-04 1e-04 0.0028 -6e-04 6e-04
SW620_24h_UGln_R3_PIM_SCAN_01 1124864 0.9887 0.0091 -2e-04 0.001 -7e-04 0.002 -7e-04 0.0018 2e-04 9e-04
SW620_6h_12Glc_R1_PIM_SCAN_01 248704 0.9852 0.0135 -1e-04 -0.0033 -8e-04 0.0025 -5e-04 0.0028 5e-04 8e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 238784 0.9754 0.0059 0.0172 -0.0038 9e-04 0.0026 9e-04 0.0011 4e-04 0
SW620_6h_12Glc_R3_PIM_SCAN_01 396096 0.9923 0.0042 -0.0017 -7e-04 -0.0013 0.0025 -5e-04 0.0031 3e-04 0.0014
SW620_6h_UGln_R1_PIM_SCAN_01 289088 0.9854 0.0128 -0.0065 0.0043 1e-04 6e-04 3e-04 0.0028 6e-04 0.0014
SW620_6h_UGln_R2_PIM_SCAN_01 170752 0.9686 0.0214 0.0035 -0.0032 -1e-04 0.0036 0.001 0.0031 5e-04 0.0038
SW620_6h_UGln_R3_PIM_SCAN_01 204480 0.9825 0.0066 0.0084 -0.002 -0.001 0.0013 7e-04 0.0038 5e-04 0.0012
