###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_12Glc_R1_PIM_SCAN_01 1515008 0.9816 0.0094 0.0033 0.0053 2e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 1719296 0.9819 0.01 0.0026 0.005 2e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 2286592 0.98 0.013 -0.0016 0.0078 5e-04
SW620_24h_cold_R2_PIM_SCAN_01 1907200 0.98 0.011 8e-04 0.0074 5e-04
SW620_24h_UGln_R1_PIM_SCAN_01 1646592 0.9854 0.0078 -0.0029 0.0078 0.0013
SW620_24h_UGln_R2_PIM_SCAN_01 1416192 0.9896 0.0076 2e-04 0.002 7e-04
SW620_24h_UGln_R3_PIM_SCAN_01 2453504 0.9846 0.0107 -4e-04 0.005 2e-04
SW620_6h_12Glc_R1_PIM_SCAN_01 785664 0.9854 0.0075 -0.0025 0.0089 7e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 708928 0.9802 0.0066 0.0027 0.0098 1e-04
SW620_6h_12Glc_R3_PIM_SCAN_01 1096192 0.9802 0.0132 -0.0022 0.0082 6e-04
SW620_6h_UGln_R1_PIM_SCAN_01 873472 0.9798 0.0054 -1e-04 0.0132 0.0015
SW620_6h_UGln_R2_PIM_SCAN_01 725824 0.9884 0.0119 -0.0015 1e-04 7e-04
SW620_6h_UGln_R3_PIM_SCAN_01 695168 0.9859 0.0044 3e-04 0.0085 6e-04

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4
 0.014867 -0.004774 -0.001082 -0.006394 -0.001710
Sample_file Max_intensity m0 m1 m2 m3 m4
SW620_24h_cold_R2_PIM_SCAN_01 1907200 0.98 0.011 8e-04 0.0074 5e-04
SW620_24h_12Glc_R1_PIM_SCAN_01 1515008 1.0015 -0.0015 0.0025 -0.0021 -4e-04
SW620_24h_12Glc_R2_PIM_SCAN_01 1719296 1.0018 -0.001 0.0018 -0.0024 -4e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 2286592 0.9999 0.002 -0.0024 3e-04 0
SW620_24h_UGln_R1_PIM_SCAN_01 1646592 1.0054 -0.0032 -0.0036 3e-04 8e-04
SW620_24h_UGln_R2_PIM_SCAN_01 1416192 1.0096 -0.0034 -6e-04 -0.0054 1e-04
SW620_24h_UGln_R3_PIM_SCAN_01 2453504 1.0045 -3e-04 -0.0012 -0.0024 -4e-04
SW620_6h_12Glc_R1_PIM_SCAN_01 785664 1.0054 -0.0034 -0.0033 0.0014 1e-04
SW620_6h_12Glc_R2_PIM_SCAN_01 708928 1.0002 -0.0044 0.002 0.0024 -5e-04
SW620_6h_12Glc_R3_PIM_SCAN_01 1096192 1.0002 0.0023 -0.003 8e-04 0
SW620_6h_UGln_R1_PIM_SCAN_01 873472 0.9998 -0.0055 -9e-04 0.0058 0.001
SW620_6h_UGln_R2_PIM_SCAN_01 725824 1.0084 9e-04 -0.0023 -0.0073 2e-04
SW620_6h_UGln_R3_PIM_SCAN_01 695168 1.0059 -0.0066 -4e-04 0.0011 0
