###	MIDCOR version 1.0: 0769f0641c9a1860c69f20d42792c723 2021-09-08 14:07:32 	***

*** MID for each injection, corrected for natural enrichment using empirical formula ***
Sample_file Max_intensity m0 m1 m2 m3 m4 m5
SW620_24h_12Glc_R1_PIM_SCAN_01 69576 0.9804 0.0107 0.0196 -0.0104 -0.001 0.0019
SW620_24h_12Glc_R2_PIM_SCAN_01 89776 1.0054 -5e-04 -0.0012 -0.0021 -4e-04 -7e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 198080 0.9887 0.0033 0.0036 0.0047 -7e-04 0
SW620_24h_cold_R2_PIM_SCAN_01 104728 0.9798 0.0034 0.0124 0.0039 0.0013 0
SW620_24h_UGln_R1_PIM_SCAN_01 130784 0.9759 0.0159 0.0144 -0.0059 -0.001 0.0015
SW620_24h_UGln_R2_PIM_SCAN_01 72984 0.9778 0.0078 0.0152 -7e-04 -0.0021 0.0028
SW620_24h_UGln_R3_PIM_SCAN_01 189568 0.9778 0.0108 -1e-04 9e-04 0.0013 0.0087
SW620_6h_12Glc_R1_PIM_SCAN_01 48664 1.004 -0.0112 0.0123 -0.0058 -0.0025 0.0022
SW620_6h_12Glc_R2_PIM_SCAN_01 39560 0.9859 0.0219 -0.0062 -0.0019 -0.0017 0.0021
SW620_6h_12Glc_R3_PIM_SCAN_01 53440 1.0005 0.0121 -0.0047 -0.0087 6e-04 -1e-04
SW620_6h_UGln_R1_PIM_SCAN_01 43304 0.9966 0.001 0.005 3e-04 -0.0022 -0.0016
SW620_6h_UGln_R2_PIM_SCAN_01 19920 0.9968 0.0025 0.0112 -0.0199 0.0111 -0.0044
SW620_6h_UGln_R3_PIM_SCAN_01 39040 0.9713 0.0388 0.005 -0.0135 0.0041 -0.0028

*** Samples additionally corrected for possible matrix effects **

*** Correction factor: **
CF_m0 CF_m1 CF_m2 CF_m3 CF_m4 CF_m5
 0.0147306  0.0012670 -0.0084284 -0.0051142 -0.0024999 -0.0006039
Sample_file Max_intensity m0 m1 m2 m3 m4 m5
SW620_24h_cold_R2_PIM_SCAN_01 104728 0.9798 0.0034 0.0124 0.0039 0.0013 0
SW620_24h_12Glc_R1_PIM_SCAN_01 69576 1.0006 0.0073 0.0072 -0.0143 -0.0023 0.0019
SW620_24h_12Glc_R2_PIM_SCAN_01 89776 1.0256 -0.0039 -0.0136 -0.006 -0.0017 -7e-04
SW620_24h_12Glc_R3_PIM_SCAN_01 198080 1.009 -2e-04 -0.0088 8e-04 -0.002 0
SW620_24h_UGln_R1_PIM_SCAN_01 130784 0.9961 0.0125 0.002 -0.0098 -0.0023 0.0015
SW620_24h_UGln_R2_PIM_SCAN_01 72984 0.9981 0.0044 0.0028 -0.0046 -0.0034 0.0028
SW620_24h_UGln_R3_PIM_SCAN_01 189568 0.998 0.0074 -0.0125 -0.003 0 0.0087
SW620_6h_12Glc_R1_PIM_SCAN_01 48664 1.0242 -0.0146 -1e-04 -0.0098 -0.0038 0.0022
SW620_6h_12Glc_R2_PIM_SCAN_01 39560 1.0061 0.0184 -0.0186 -0.0058 -0.003 0.0021
SW620_6h_12Glc_R3_PIM_SCAN_01 53440 1.0207 0.0087 -0.0171 -0.0126 -7e-04 -1e-04
SW620_6h_UGln_R1_PIM_SCAN_01 43304 1.0168 -0.0024 -0.0074 -0.0037 -0.0035 -0.0016
SW620_6h_UGln_R2_PIM_SCAN_01 19920 1.017 -9e-04 -0.0011 -0.0238 0.0098 -0.0044
SW620_6h_UGln_R3_PIM_SCAN_01 39040 0.9915 0.0354 -0.0074 -0.0174 0.0028 -0.0028
